time,15cm,15cm_vel,20cm,20cm_vel,25cm,25cm_vel,30cm,30cm_vel,35cm,35cm_vel
8.85,0.0632,0.087777778,0.073133333,0.201074074,0.084266667,0.284777778,0.102066667,0.298074074,0.072466667,0.549740741
8.9,0.064666667,-0.036740741,0.079733333,0.050888889,0.094666667,0.109074074,0.112466667,0.089185185,0.0974,0.380222222
8.95,0.0594,-0.157481481,0.078333333,-0.10262963,0.095466667,-0.074703704,0.1114,-0.129148148,0.112,0.173185185
9,0.048333333,-0.262592593,0.069066667,-0.245481482,0.086866667,-0.249925926,0.098866667,-0.331185185,0.115333333,-0.04937037
9.05,0.031866667,-0.337592593,0.052733333,-0.362037037,0.069533333,-0.400518519,0.076933333,-0.498925926,0.106733333,-0.264111111
9.1,0.013133333,-0.376962963,0.031333333,-0.440555556,0.045066667,-0.508111111,0.046866667,-0.614259259,0.087733333,-0.449296296
9.15,-0.007066667,-0.382777778,0.006866667,-0.473777778,0.0166,-0.562888889,0.012933333,-0.665888889,0.06,-0.588666667
9.2,-0.0268,-0.348259259,-0.017933333,-0.459518519,-0.013466667,-0.561074074,-0.0222,-0.653555556,0.0264,-0.666703704
9.25,-0.043333333,-0.278259259,-0.040866667,-0.400185185,-0.041733333,-0.503333333,-0.055066667,-0.575296296,-0.009333333,-0.677777778
9.3,-0.055666667,-0.18137037,-0.059533333,-0.301148148,-0.065733333,-0.396666667,-0.082133333,-0.438074074,-0.044066667,-0.621259259
9.35,-0.0622,-0.066407407,-0.0722,-0.171962963,-0.083,-0.250259259,-0.100466667,-0.259555556,-0.073933333,-0.502777778
9.4,-0.062533333,0.054259259,-0.0774,-0.026074074,-0.091733333,-0.079481481,-0.109066667,-0.056407407,-0.096266667,-0.335555556
9.45,-0.056533333,0.168777778,-0.0748,0.12037037,-0.0912,0.097814815,-0.1064,0.152703704,-0.108866667,-0.134444444
9.5,-0.044933333,0.265111111,-0.064866667,0.253925926,-0.081533333,0.264259259,-0.093,0.342925926,-0.1102,0.07862963
9.55,-0.028866667,0.333,-0.0484,0.361703704,-0.0636,0.401703704,-0.0706,0.496,-0.100533333,0.280703704
9.6,-0.010266667,0.366740741,-0.027066667,0.430037037,-0.039666667,0.496888889,-0.041466667,0.599481481,-0.080866667,0.451518519
9.65,0.0092,0.364888889,-0.003733333,0.455888889,-0.011933333,0.541962963,-0.0082,0.641740741,-0.0536,0.576703704
9.7,0.027666667,0.326740741,0.020266667,0.437074074,0.016733333,0.531962963,0.025333333,0.618666667,-0.0208,0.642259259
9.75,0.0432,0.255592593,0.041866667,0.372185185,0.0434,0.468555556,0.056066667,0.534888889,0.013266667,0.642074074
9.8,0.054266667,0.158555556,0.058933333,0.270703704,0.0654,0.359259259,0.080933333,0.398185185,0.045866667,0.579222222
9.85,0.059666667,0.046111111,0.069933333,0.143555555,0.080733333,0.214777778,0.0974,0.223111111,0.073533333,0.457962963
9.9,0.059,-0.069740741,0.073866667,0.002481481,0.087733333,0.049222222,0.104133333,0.026148148,0.093466667,0.291555556
9.95,0.0524,-0.177925926,0.070133333,-0.137407407,0.085733333,-0.118925926,0.100133333,-0.173111111,0.1038,0.097222222
10,0.040466667,-0.267333333,0.059466667,-0.261333333,0.075333333,-0.274074074,0.085933333,-0.35137037,0.103533333,-0.105407407
10.05,0.024466667,-0.327592593,0.042933333,-0.358333333,0.0572,-0.400592593,0.063533333,-0.492814815,0.092666667,-0.294037037
10.1,0.0064,-0.354851852,0.0222,-0.419185185,0.033533333,-0.48437037,0.034733333,-0.585074074,0.072866667,-0.451185185
